Row Labels,Average of Generosity,Average of Healthy life expectancy,Average of Social support,Sum of Overall rank,,,,,,
Afghanistan,0.191,0.255,0.537,145,,,,,,
Albania,0.149,0.79,0.817,112,,,,,,
Algeria,0.055,0.687,1.154,84,,,,,,
Angola,0.079,0.269,1.125,142,,,,,,
Argentina,0.062,0.744,1.468,29,,,,,,
Armenia,0.077,0.666,0.99,129,,,,,,
Australia,0.361,0.91,1.573,10,,,,,,
Austria,0.242,0.891,1.504,12,,,,,,
Azerbaijan,0.031,0.603,1.161,87,,,,,,
Bahrain,0.243,0.698,1.366,43,,,,,,
Bangladesh,0.153,0.579,0.85,115,,,,,,
Belarus,0.101,0.7,1.498,73,,,,,,
Belgium,0.188,0.894,1.483,16,,,,,,
Belize,0.183,0.474,1.101,49,,,,,,
Benin,0.163,0.24,0.372,136,,,,,,
Bhutan,0.364,0.527,1.335,97,,,,,,
Bolivia,0.141,0.508,1.223,62,,,,,,
Bosnia and Herzegovina,0.216,0.758,1.078,93,,,,,,
Botswana,0.042,0.417,1.174,146,,,,,,
Brazil,0.11,0.675,1.474,28,,,,,,
Bulgaria,0.064,0.712,1.515,100,,,,,,
Burkina Faso,0.175,0.254,1.097,121,,,,,,
Burundi,0.149,0.145,0.627,156,,,Column1,Generosity,Healthy Life Expectancy,Social Support
Cambodia,0.256,0.457,1.088,120,,,Minimum,0.00,0.00,0.00
Cameroon,0.183,0.182,0.891,99,,,Maximum,0.60,1.03,1.64
Canada,0.321,0.896,1.532,7,,,Average,0.18,0.60,1.21
Central African Republic,0.218,0.01,0,155,,,Standard Deviation,0.08,0.20,0.24
Chad,0.181,0.053,0.907,131,,,,,,
Chile,0.197,0.808,1.331,25,,,,,,
China,0.029,0.799,1.142,86,,,,,,
Colombia,0.099,0.635,1.439,37,,,,,,
Congo (Brazzaville),0.091,0.343,0.811,114,,,,,,
Congo (Kinshasa),0.197,0.204,1.136,132,,,,,,
Costa Rica,0.143,0.817,1.459,13,,,,,,
Croatia,0.12,0.737,1.161,82,,,,,,
Cyprus,0.202,0.909,1.191,61,,,,,,
Czech Republic,0.064,0.854,1.489,21,,,,,,
Denmark,0.284,0.868,1.59,3,,,,,,
Dominican Republic,0.12,0.614,1.441,83,,,,,,
Ecuador,0.114,0.736,1.33,48,,,,,,
Egypt,0.092,0.553,1.025,122,,,,,,
El Salvador,0.065,0.639,1.231,40,,,,,,
Estonia,0.086,0.737,1.532,63,,,,,,
Ethiopia,0.22,0.391,0.95,127,,,,,,
Finland,0.202,0.874,1.592,1,,,,,,
France,0.098,0.908,1.466,23,,,,,,
Gabon,0.032,0.404,1.164,103,,,,,,
Georgia,0.038,0.643,0.592,128,,,,,,
Germany,0.273,0.861,1.474,15,,,,,,
Ghana,0.212,0.337,0.896,108,,,,,,
Greece,0,0.879,1.202,79,,,,,,
Guatemala,0.179,0.608,1.268,30,,,,,,
Guinea,0.185,0.211,0.792,140,,,,,,
Haiti,0.392,0.289,0.714,148,,,,,,
Honduras,0.197,0.622,1.205,72,,,,,,
Hong Kong,0.246,1.03,1.29,76,,,,,,
Hungary,0.061,0.732,1.401,69,,,,,,
Iceland,0.353,0.914,1.644,4,,,,,,
India,0.172,0.485,0.747,133,,,,,,
Indonesia,0.484,0.522,1.215,96,,,,,,
Iran,0.282,0.691,0.771,106,,,,,,
Iraq,0.148,0.536,0.971,117,,,,,,
Ireland,0.307,0.876,1.583,14,,,,,,
Israel,0.354,0.883,1.559,19,,,,,,
Italy,0.137,0.946,1.501,47,,,,,,
Ivory Coast,0.146,0.08,0.872,107,,,,,,
Jamaica,0.096,0.693,1.493,56,,,,,,
Japan,0.079,0.988,1.462,54,,,,,,
Jordan,0.13,0.645,1.265,90,,,,,,
Kazakhstan,0.148,0.631,1.516,60,,,,,,
Kenya,0.352,0.454,1.048,124,,,,,,
Kosovo,0.274,0.578,1.23,66,,,,,,
Kuwait,0.167,0.675,1.301,45,,,,,,
Kyrgyzstan,0.281,0.594,1.416,92,,,,,,
Laos,0.23,0.441,1.034,110,,,,,,
Latvia,0.092,0.671,1.454,53,,,,,,
Lebanon,0.214,0.785,1.179,80,,,,,,
Lesotho,0.116,0.079,1.215,141,,,,,,
Liberia,0.206,0.267,0.858,149,,,,,,
Libya,0.116,0.553,1.35,70,,,,,,
Lithuania,0.026,0.716,1.527,50,,,,,,
Luxembourg,0.196,0.896,1.52,17,,,,,,
Macedonia,0.173,0.691,1.239,89,,,,,,
Madagascar,0.155,0.402,0.908,143,,,,,,
Malawi,0.21,0.306,0.541,147,,,,,,
Malaysia,0.311,0.669,1.258,35,,,,,,
Mali,0.139,0.152,1.233,118,,,,,,
Malta,0.376,0.884,1.525,22,,,,,,
Mauritania,0.134,0.292,1.245,126,,,,,,
Mauritius,0.245,0.684,1.387,55,,,,,,
Mexico,0.069,0.761,1.252,24,,,,,,
Moldova,0.171,0.62,1.301,67,,,,,,
Mongolia,0.253,0.575,1.517,94,,,,,,
Montenegro,0.111,0.729,1.279,81,,,,,,
Morocco,0.026,0.669,0.797,85,,,,,,
Mozambique,0.206,0.173,0.902,123,,,,,,
Myanmar,0.598,0.429,1.174,130,,,,,,
Namibia,0.051,0.365,1.281,119,,,,,,
Nepal,0.302,0.539,1.228,101,,,,,,
Netherlands,0.333,0.878,1.488,6,,,,,,
New Zealand,0.365,0.876,1.601,8,,,,,,
Nicaragua,0.208,0.7,1.319,41,,,,,,
Niger,0.175,0.221,0.867,134,,,,,,
Nigeria,0.201,0.048,1.172,91,,,,,,
Northern Cyprus,0.179,0.909,1.211,58,,,,,,
Norway,0.286,0.861,1.582,2,,,,,,
Pakistan,0.216,0.424,0.81,75,,,,,,
Palestinian Territories,0.086,0.602,1.217,104,,,,,,
Panama,0.125,0.759,1.438,27,,,,,,
Paraguay,0.162,0.615,1.522,64,,,,,,
Peru,0.092,0.674,1.249,65,,,,,,
Philippines,0.12,0.513,1.312,71,,,,,,
Poland,0.108,0.781,1.448,42,,,,,,
Portugal,0.055,0.884,1.429,77,,,,,,
Qatar,0.256,0.748,1.303,32,,,,,,
Romania,0.088,0.726,1.219,52,,,,,,
Russia,0.065,0.599,1.479,59,,,,,,
Rwanda,0.2,0.4,0.896,151,,,,,,
Saudi Arabia,0.098,0.633,1.331,33,,,,,,
Senegal,0.138,0.433,1.117,109,,,,,,
Serbia,0.134,0.685,1.369,78,,,,,,
Sierra Leone,0.238,0,0.813,113,,,,,,
Singapore,0.261,1.008,1.451,34,,,,,,
